"","Agapostemon_sericeus","Agapostemon_texanus","Agapostemon_virescens","Augochlora_pura","Augochlorella_aurata","Augochloropsis_metallica","Bombus_bimaculatus","Bombus_griseocollis","Bombus_impatiens","Calliopsis_andreniformis","Ceratina_calcarata_dupla_miqmaki","Ceratina_strenua","Halictus_confusus","Halictus_ligatus","Halictus_parallelus","Halictus_rubicundus","Lasioglossum_admirandum","Lasioglossum_albipenne","Lasioglossum_bruneri","Lasioglossum_coriaceum","Lasioglossum_cressonii","Lasioglossum_ephialtum","Lasioglossum_illinoense","Lasioglossum_imitatum","Lasioglossum_leucocomum","Lasioglossum_mitchelli","Lasioglossum_nymphaearum","Lasioglossum_oblongum","Lasioglossum_obscurum","Lasioglossum_paradmirandum","Lasioglossum_pectorale","Lasioglossum_pilosum","Lasioglossum_rozeni","Lasioglossum_smilacinae","Lasioglossum_tegulare","Lasioglossum_trigeminum","Lasioglossum_truncatum","Lasioglossum_versatum","Lasioglossum_weemsi","Lasioglossum_zephyrum","Megachile_mendica","Melissodes_bimaculata","Peponapis_pruinosa","Triepeolus_remigatus","Xylocopa_virginica"
"anc",0,0,1,24,2,0,0,0,28,0,25,4,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"bra",0,0,0,16,2,0,0,0,72,0,13,0,3,0,0,1,0,0,2,0,0,1,1,24,0,7,0,0,0,1,0,2,0,0,0,0,1,17,1,1,0,18,0,0,1
"bri",0,2,0,0,1,0,0,0,34,0,6,6,0,3,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,6,4,0,0,1,0,0,2,2,0,0,3,0,0,0
"ced",0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,8,0,6,0,0,0,14,0,0,1,0,0,0,0,9,2,0,0,0,18,0,0
"che",0,0,0,8,2,0,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,43,0,4,1,0,0,0,0,2,0,0,0,2,0,6,2,0,0,0,0,0,0
"lee",0,1,0,1,0,0,0,0,10,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,13,0,0,0
"mapa",0,0,0,21,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,1,0,0,0,3,2,0,0,0,5,0,0
"non",0,0,0,15,0,1,0,0,83,0,10,0,1,0,0,2,0,1,0,0,0,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,3,6,0,0
"pea",0,0,0,15,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,0,1,0,0,4,0,8,0
"pen",0,0,0,37,0,0,0,0,13,0,10,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0
"phi",0,0,0,6,4,0,0,0,47,0,7,0,2,1,1,0,0,0,2,0,0,0,0,64,1,1,1,0,1,0,1,5,0,0,0,0,1,10,2,2,0,0,0,0,0
"ray",0,0,0,28,16,0,0,0,12,0,7,14,4,0,0,1,1,0,0,0,1,2,1,21,0,16,0,0,1,8,0,19,0,0,2,0,1,3,3,1,0,2,0,0,0
"san",0,0,0,19,7,0,0,0,18,2,6,2,3,0,0,0,0,0,0,0,0,0,1,86,0,3,2,0,0,0,0,1,0,0,0,0,0,12,1,1,0,1,0,0,0
"sun",0,0,0,0,0,0,0,0,13,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,4,0,0,4,1,0,0,6,1,0,0
"ter",0,0,4,50,3,0,0,0,32,1,20,1,6,10,0,0,0,0,0,1,0,0,0,51,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,16,36,0
"tra",3,0,0,10,1,0,0,0,56,0,0,0,4,2,0,0,0,0,0,0,1,0,0,7,6,0,0,0,0,0,3,22,0,0,2,0,0,4,2,0,1,3,2,3,0
"wat",0,0,0,13,3,0,0,0,93,0,15,0,1,0,0,2,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,36,3,0,0,0,0,0,1
