"","Nest_place","Sociality","Parasitic","ITfam","PDrar20","tongue"
"Agapostemon_sericeus","soil","fac_social","No",1.9,861.975639972715,3.096
"Agapostemon_texanus","soil","fac_social","No",1.874,819.844326619581,3.492
"Agapostemon_virescens","soil","fac_social","No",2.16,904.10695332585,3.738375
"Augochlora_pura","wood","Solitary","No",1.595,1663.80479588713,2.75409523809524
"Augochlorella_aurata","soil","Eusocial","No",1.5337500000625,1778.90978378416,2.4267
"Augochloropsis_metallica","soil","Solitary","No",1.905,1151.20022137369,2.32
"Bombus_bimaculatus","cavity","Eusocial","No",3.7375,1422.26910245981,9.99285185185185
"Bombus_griseocollis","cavity","Eusocial","No",4.34285714290476,1047.7253108721,9.19680597014925
"Bombus_impatiens","cavity","Eusocial","No",4.511,1333.72735764887,10.1363448275862
"Calliopsis_andreniformis","soil","Solitary","No",1.24,1280.79191733599,3.119
"Ceratina_calcarata_dupla_miqmaki","stem","fac_social","No",1.27380952383333,1208.67869025538,2.68707578602222
"Ceratina_strenua","stem","fac_social","No",0.932,1208.67869025538,2.68371428571429
"Halictus_confusus","soil","fac_social","No",1.4,1520.6359528179,2.10518902914286
"Halictus_ligatus","soil","Eusocial","No",1.82,1405.78957987089,2.85079082963333
"Halictus_parallelus","soil","Eusocial","No",2.545,1079.48748388038,2.92228571428571
"Halictus_rubicundus","soil","fac_social","No",1.75,1617.24530291438,2.63683333333333
"Lasioglossum_admirandum","soil","Eusocial","No",1.176,1490.22354006691,1.61239007152539
"Lasioglossum_albipenne","soil","Eusocial","No",1.225,1490.22354006691,1.67683268829605
"Lasioglossum_bruneri","soil","Eusocial","No",1.454,1490.22354006691,1.97670070273722
"Lasioglossum_coriaceum","soil","fac_social","No",1.95,1490.22354006691,2.55933333333333
"Lasioglossum_cressonii","wood","Eusocial","No",1.179,1892.23832188178,1.573
"Lasioglossum_ephialtum","soil","Eusocial","No",1.26111111116667,1681.73490990043,1.2740030575
"Lasioglossum_illinoense","soil","Eusocial","No",0.95,1734.39599281536,1.31369258164078
"Lasioglossum_imitatum","soil","Eusocial","No",0.819,1318.89632436493,1.231
"Lasioglossum_leucocomum","soil","Eusocial","No",1.28660714285714,1087.21470264675,1.627
"Lasioglossum_mitchelli","soil","Eusocial","No",1.1,1473.6564,1.27766666666667
"Lasioglossum_nymphaearum","soil","Eusocial","No",1.475,1184.30945272292,2.00410017474145
"Lasioglossum_oblongum","wood","Eusocial","No",1.23159090909091,1885.62766181445,1.68549280109403
"Lasioglossum_obscurum","soil","Eusocial","No",1.3066666666,1534.21046199784,1.78401008942484
"Lasioglossum_paradmirandum","soil","Eusocial","No",0.9262488,1205.38138278118,1.28214646233826
"Lasioglossum_pectorale","soil","Solitary","No",1.448,1305.72787631401,2.002125
"Lasioglossum_pilosum","soil","Eusocial","No",1.20642857142857,1480.90407550955,1.803
"Lasioglossum_rozeni","soil","Solitary","Yes",1.29160592281424,1490.22354006691,1.76426538429483
"Lasioglossum_smilacinae","soil","Eusocial","No",1.6015625,1490.22354006691,2.1689084569756
"Lasioglossum_tegulare","soil","Eusocial","No",0.928,1337.11845849881,1.30675
"Lasioglossum_trigeminum","soil","Eusocial","No",1.29160592281424,1470.79855473282,1.4485
"Lasioglossum_truncatum","soil","Eusocial","No",1.55,1490.22354006691,2.05
"Lasioglossum_versatum","soil","Eusocial","No",1.35333333333333,1559.5263017939,1.71652631578947
"Lasioglossum_weemsi","soil","Eusocial","No",1.13125,1435.43584694953,1.55344304462132
"Lasioglossum_zephyrum","soil","Eusocial","No",1.438,1530.29776410804,1.95581429929719
"Megachile_mendica","hole","Solitary","No",3.0625,1159.40488408329,5.03542857142857
"Melissodes_bimaculata","soil","Solitary","No",2.92,1401.11196883657,6.381
"Peponapis_pruinosa","soil","Solitary","No",3.7066666667,603.319356065356,7.958
"Triepeolus_remigatus","soil","Solitary","Yes",2.3657852,897.337590367858,4.86850815265421
"Xylocopa_virginica","wood","fac_social","No",6.06866666666667,1192.71156756987,7.305975
